"Year","District","Immigration","FullName","SentenceAdd","PCTImmig"
2008,"SC",59,"District of South Carolina",1041,0.0566762728146013
2008,"SD",37,"District of South Dakota",343,0.107871720116618
2008,"TNE",26,"Eastern District of Tennessee",547,0.0475319926873857
2008,"TNM",35,"Middle District of Tennessee",248,0.141129032258065
2008,"TNW",13,"Western District of Tennessee",532,0.0244360902255639
2008,"TXE",70,"Eastern District of Texas",922,0.0759219088937093
2008,"TXN",173,"Northern District of Texas",991,0.174571140262361
2008,"TXS",4600,"Southern District of Texas",6261,0.734706915828143
2008,"TXW",2951,"Western District of Texas",6391,0.461743076200908
2008,"UT",252,"District of Utah",732,0.344262295081967
2008,"VAE",168,"Eastern District of Virginia",1460,0.115068493150685
2008,"VAW",7,"Western District of Virginia",365,0.0191780821917808
2008,"VI",14,"District of Virgin Islands",72,0.194444444444444
2008,"VT",14,"District of Vermont",134,0.104477611940299
2008,"WAE",99,"Eastern District of Washington",312,0.317307692307692
2008,"WAW",96,"Western District of Washington",644,0.149068322981366
2008,"WIE",24,"Eastern District of Wisconsin",390,0.0615384615384615
2008,"WIW",13,"Western District of Wisconsin",178,0.0730337078651685
2008,"WVN",5,"Northern District of West Virginia",383,0.0130548302872063
2008,"WVS",3,"Southern District of West Virginia",248,0.0120967741935484
2008,"WY",25,"District of Wyoming",283,0.088339222614841
2009,"AK",7,"District of Alaska",144,0.0486111111111111
2009,"ALM",10,"Middle District of Alabama",201,0.0497512437810945
2009,"ALN",28,"Northern District of Alabama",394,0.0710659898477157
2009,"ALS",21,"Southern District of Alabama",385,0.0545454545454545
2009,"ARE",34,"Eastern District of Arkansas",345,0.0985507246376812
2009,"ARW",91,"Western District of Arkansas",236,0.385593220338983
2009,"AZ",2664,"District of Arizona",4592,0.5801393728223
2009,"CAC",644,"Central District of California",1646,0.391251518833536
2009,"CAE",318,"Eastern District of California",949,0.33508956796628
2009,"CAN",327,"Northern District of California",768,0.42578125
2009,"CAS",2800,"Southern District of California",4395,0.637087599544937
2009,"CO",161,"District of Colorado",440,0.365909090909091
2009,"CT",13,"District of Connecticut",338,0.0384615384615385
2009,"DC",9,"District of Washington D.C.",290,0.0310344827586207
2009,"DE",20,"District of Delaware",141,0.141843971631206
2009,"FLM",346,"Middle District of Florida",1480,0.233783783783784
2009,"FLN",33,"Northern District of Florida",346,0.0953757225433526
2009,"FLS",505,"Southern District of Florida",2128,0.237312030075188
2009,"GAM",3,"Middle District of Georgia",209,0.0143540669856459
2009,"GAN",135,"Northern District of Georgia",716,0.18854748603352
2009,"GAS",13,"Southern District of Georgia",388,0.0335051546391753
2009,"GU",5,"District of Guam",38,0.131578947368421
2009,"HI",34,"District of Hawaii",273,0.124542124542125
2009,"IAN",31,"Northern District of Iowa",336,0.0922619047619048
2009,"IAS",27,"Southern District of Iowa",429,0.0629370629370629
2009,"ID",87,"District of Idaho",281,0.309608540925267
2009,"ILC",22,"Central District of Illinois",317,0.0694006309148265
2009,"ILN",100,"Northern District of Illinois",781,0.128040973111396
2009,"ILS",22,"Southern District of Illinois",290,0.0758620689655172
2009,"INN",15,"Northern District of Indiana",385,0.038961038961039
2009,"INS",7,"Southern District of Indiana",218,0.0321100917431193
2009,"KS",81,"District of Kansas",629,0.128775834658188
2009,"KYE",40,"Eastern District of Kentucky",602,0.0664451827242525
2009,"KYW",8,"Western District of Kentucky",235,0.0340425531914894
2009,"LAE",46,"Eastern District of Louisiana",343,0.134110787172012
2009,"LAM",10,"Middle District of Louisiana",135,0.0740740740740741
2009,"LAW",46,"Western District of Louisiana",285,0.16140350877193
2009,"MA",34,"District of Massachusetts",457,0.074398249452954
2009,"MD",40,"District of Maryland",630,0.0634920634920635
2009,"ME",38,"District of Maine",202,0.188118811881188
2009,"MIE",40,"Eastern District of Michigan",631,0.063391442155309
2009,"MIW",99,"Western District of Michigan",439,0.225512528473804
2009,"MN",40,"District of Minnesota",525,0.0761904761904762
2009,"MOE",47,"Eastern District of Missouri",916,0.0513100436681223
2009,"MOW",72,"Western District of Missouri",724,0.0994475138121547
2009,"MP",2,"District of Northern Mariana Islands",20,0.1
2009,"MSN",2,"Northern District of Mississippi",118,0.0169491525423729
2009,"MSS",19,"Southern District of Mississippi",259,0.0733590733590734
2009,"MT",26,"District of Montana",341,0.0762463343108504
2009,"NCE",17,"Eastern District of North Carolina",586,0.0290102389078498
2009,"NCM",34,"Middle District of North Carolina",415,0.0819277108433735
2009,"NCW",29,"Western District of North Carolina",491,0.0590631364562118
2009,"ND",81,"District of North Dakota",246,0.329268292682927
2009,"NE",74,"District of Nebraska",605,0.122314049586777
2009,"NH",8,"District of New Hampshire",163,0.049079754601227
2009,"NJ",51,"District of New Jersey",700,0.0728571428571429
2009,"NM",2621,"District of New Mexico",3368,0.778206650831354
2009,"NV",100,"District of Nevada",346,0.289017341040462
2009,"NYE",113,"Eastern District of New York",958,0.117954070981211
2009,"NYN",142,"Northern District of New York",431,0.329466357308585
2009,"NYS",254,"Southern District of New York",1330,0.190977443609023
2009,"NYW",70,"Western District of New York",461,0.151843817787419
2009,"OHN",30,"Northern District of Ohio",523,0.0573613766730402
2009,"OHS",37,"Southern District of Ohio",518,0.0714285714285714
2009,"OKE",2,"Eastern District of Oklahoma",83,0.0240963855421687
2009,"OKN",8,"Northern District of Oklahoma",180,0.0444444444444444
2009,"OKW",28,"Western District of Oklahoma",275,0.101818181818182
2009,"OR",180,"District of Oregon",533,0.337711069418386
2009,"PAE",55,"Eastern District of Pennsylvania",755,0.0728476821192053
2009,"PAM",38,"Middle District of Pennsylvania",525,0.0723809523809524
2009,"PAW",41,"Western District of Pennsylvania",375,0.109333333333333
2009,"PR",121,"District of Puerto Rico",576,0.210069444444444
2009,"RI",13,"District of Rhode Island",110,0.118181818181818
2009,"SC",33,"District of South Carolina",944,0.0349576271186441
2009,"SD",80,"District of South Dakota",404,0.198019801980198
2009,"TNE",35,"Eastern District of Tennessee",598,0.0585284280936455
2009,"TNM",44,"Middle District of Tennessee",271,0.162361623616236
2009,"TNW",25,"Western District of Tennessee",534,0.0468164794007491
2009,"TXE",77,"Eastern District of Texas",853,0.0902696365767878
2009,"TXN",207,"Northern District of Texas",941,0.219978746014878
2009,"TXS",5366,"Southern District of Texas",7328,0.732259825327511
2009,"TXW",3654,"Western District of Texas",6939,0.526588845654994
2009,"UT",225,"District of Utah",658,0.341945288753799
2009,"VAE",209,"Eastern District of Virginia",1346,0.155274888558692
2009,"VAW",4,"Western District of Virginia",447,0.00894854586129754
2009,"VI",15,"District of Virgin Islands",67,0.223880597014925
2009,"VT",17,"District of Vermont",161,0.105590062111801
2009,"WAE",137,"Eastern District of Washington",399,0.343358395989975
2009,"WAW",118,"Western District of Washington",728,0.162087912087912
2009,"WIE",22,"Eastern District of Wisconsin",392,0.0561224489795918
2009,"WIW",17,"Western District of Wisconsin",179,0.0949720670391061
2009,"WVN",6,"Northern District of West Virginia",357,0.0168067226890756
2009,"WVS",0,"Southern District of West Virginia",249,0
2009,"WY",97,"District of Wyoming",385,0.251948051948052
2010,"AK",9,"District of Alaska",125,0.072
2010,"ALM",15,"Middle District of Alabama",185,0.0810810810810811
2010,"ALN",20,"Northern District of Alabama",370,0.0540540540540541
2010,"ALS",8,"Southern District of Alabama",264,0.0303030303030303
2010,"ARE",38,"Eastern District of Arkansas",326,0.116564417177914
2010,"ARW",101,"Western District of Arkansas",237,0.426160337552743
2010,"AZ",3517,"District of Arizona",6482,0.542579450786794
2010,"CAC",581,"Central District of California",1823,0.318705430608886
2010,"CAE",345,"Eastern District of California",891,0.387205387205387
2010,"CAN",257,"Northern District of California",741,0.346828609986505
2010,"CAS",2745,"Southern District of California",4108,0.668208373904576
2010,"CO",146,"District of Colorado",442,0.330316742081448
2010,"CT",15,"District of Connecticut",356,0.0421348314606742
2010,"DC",6,"District of Washington D.C.",285,0.0210526315789474
2010,"DE",14,"District of Delaware",114,0.12280701754386
2010,"FLM",386,"Middle District of Florida",1481,0.260634706279541
2010,"FLN",44,"Northern District of Florida",325,0.135384615384615
2010,"FLS",511,"Southern District of Florida",2109,0.242294926505453
2010,"GAM",22,"Middle District of Georgia",231,0.0952380952380952
2010,"GAN",135,"Northern District of Georgia",609,0.221674876847291
2010,"GAS",21,"Southern District of Georgia",475,0.0442105263157895
2010,"GU",2,"District of Guam",29,0.0689655172413793
2010,"HI",3,"District of Hawaii",148,0.0202702702702703
2010,"IAN",58,"Northern District of Iowa",330,0.175757575757576
2010,"IAS",43,"Southern District of Iowa",407,0.105651105651106
2010,"ID",75,"District of Idaho",257,0.291828793774319
2010,"ILC",34,"Central District of Illinois",361,0.0941828254847645
2010,"ILN",126,"Northern District of Illinois",793,0.158890290037831
2010,"ILS",25,"Southern District of Illinois",299,0.0836120401337793
2010,"INN",16,"Northern District of Indiana",379,0.0422163588390501
2010,"INS",13,"Southern District of Indiana",292,0.0445205479452055
2010,"KS",80,"District of Kansas",612,0.130718954248366
2010,"KYE",19,"Eastern District of Kentucky",520,0.0365384615384615
2010,"KYW",12,"Western District of Kentucky",313,0.0383386581469649
2010,"LAE",38,"Eastern District of Louisiana",321,0.118380062305296
2010,"LAM",23,"Middle District of Louisiana",146,0.157534246575342
2010,"LAW",35,"Western District of Louisiana",297,0.117845117845118
2010,"MA",36,"District of Massachusetts",373,0.096514745308311
2010,"MD",52,"District of Maryland",655,0.0793893129770992
2010,"ME",19,"District of Maine",154,0.123376623376623
2010,"MIE",40,"Eastern District of Michigan",648,0.0617283950617284
2010,"MIW",144,"Western District of Michigan",490,0.293877551020408
2010,"MN",30,"District of Minnesota",442,0.0678733031674208
2010,"MOE",30,"Eastern District of Missouri",884,0.0339366515837104
2010,"MOW",33,"Western District of Missouri",562,0.0587188612099644
2010,"MP",2,"District of Northern Mariana Islands",18,0.111111111111111
2010,"MSN",4,"Northern District of Mississippi",144,0.0277777777777778
2010,"MSS",19,"Southern District of Mississippi",258,0.0736434108527132
2010,"MT",26,"District of Montana",347,0.0749279538904899
2010,"NCE",30,"Eastern District of North Carolina",667,0.0449775112443778
2010,"NCM",62,"Middle District of North Carolina",516,0.12015503875969
2010,"NCW",39,"Western District of North Carolina",465,0.0838709677419355
2010,"ND",103,"District of North Dakota",235,0.438297872340426
2010,"NE",83,"District of Nebraska",542,0.153136531365314
2010,"NH",3,"District of New Hampshire",189,0.0158730158730159
2010,"NJ",49,"District of New Jersey",662,0.0740181268882175
2010,"NM",2730,"District of New Mexico",3645,0.748971193415638
2010,"NV",200,"District of Nevada",526,0.380228136882129
2010,"NYE",150,"Eastern District of New York",905,0.165745856353591
2010,"NYN",141,"Northern District of New York",414,0.340579710144928
2010,"NYS",191,"Southern District of New York",1158,0.164939550949914
2010,"NYW",77,"Western District of New York",447,0.172259507829978
2010,"OHN",43,"Northern District of Ohio",529,0.0812854442344045
2010,"OHS",84,"Southern District of Ohio",547,0.153564899451554
2010,"OKE",0,"Eastern District of Oklahoma",84,0
2010,"OKN",10,"Northern District of Oklahoma",127,0.078740157480315
2010,"OKW",25,"Western District of Oklahoma",249,0.100401606425703
2010,"OR",151,"District of Oregon",532,0.283834586466165
2010,"PAE",79,"Eastern District of Pennsylvania",830,0.0951807228915663
2010,"PAM",30,"Middle District of Pennsylvania",402,0.0746268656716418
2010,"PAW",39,"Western District of Pennsylvania",385,0.101298701298701
2010,"PR",89,"District of Puerto Rico",701,0.126961483594864
2010,"RI",19,"District of Rhode Island",138,0.13768115942029
2010,"SC",52,"District of South Carolina",1033,0.0503388189738625
2010,"SD",50,"District of South Dakota",320,0.15625
2010,"TNE",26,"Eastern District of Tennessee",754,0.0344827586206897
2010,"TNM",25,"Middle District of Tennessee",262,0.0954198473282443
2010,"TNW",38,"Western District of Tennessee",573,0.0663176265270506
2010,"TXE",98,"Eastern District of Texas",758,0.129287598944591
2010,"TXN",170,"Northern District of Texas",878,0.193621867881549
2010,"TXS",6037,"Southern District of Texas",8149,0.740827095349123
2010,"TXW",4037,"Western District of Texas",7084,0.569875776397516
2010,"UT",296,"District of Utah",721,0.410540915395284
2010,"VAE",245,"Eastern District of Virginia",1297,0.188897455666924
2010,"VAW",11,"Western District of Virginia",331,0.0332326283987915
2010,"VI",8,"District of Virgin Islands",56,0.142857142857143
2010,"VT",46,"District of Vermont",149,0.308724832214765
2010,"WAE",150,"Eastern District of Washington",370,0.405405405405405
2010,"WAW",109,"Western District of Washington",683,0.159590043923865
2010,"WIE",21,"Eastern District of Wisconsin",374,0.0561497326203209
2010,"WIW",20,"Western District of Wisconsin",189,0.105820105820106
2010,"WVN",10,"Northern District of West Virginia",249,0.0401606425702811
2010,"WVS",3,"Southern District of West Virginia",216,0.0138888888888889
2010,"WY",102,"District of Wyoming",371,0.274932614555256
2011,"AK",9,"District of Alaska",124,0.0725806451612903
2011,"ALM",17,"Middle District of Alabama",164,0.103658536585366
2011,"ALN",35,"Northern District of Alabama",374,0.0935828877005348
2011,"ALS",20,"Southern District of Alabama",371,0.0539083557951483
2011,"ARE",54,"Eastern District of Arkansas",283,0.190812720848057
2011,"ARW",120,"Western District of Arkansas",297,0.404040404040404
2011,"AZ",5451,"District of Arizona",9064,0.601390114739629
2011,"CAC",532,"Central District of California",1621,0.328192473781616
2011,"CAE",373,"Eastern District of California",932,0.400214592274678
2011,"CAN",238,"Northern District of California",680,0.35
2011,"CAS",2701,"Southern District of California",4205,0.642330558858502
2011,"CO",191,"District of Colorado",562,0.339857651245552
2011,"CT",8,"District of Connecticut",295,0.0271186440677966
2011,"DC",21,"District of Washington D.C.",278,0.0755395683453237
2011,"DE",10,"District of Delaware",102,0.0980392156862745
2011,"FLM",346,"Middle District of Florida",1332,0.25975975975976
2011,"FLN",30,"Northern District of Florida",293,0.102389078498294
2011,"FLS",403,"Southern District of Florida",1902,0.211882229232387
2011,"GAM",51,"Middle District of Georgia",283,0.180212014134276
2011,"GAN",150,"Northern District of Georgia",623,0.240770465489567
2011,"GAS",12,"Southern District of Georgia",439,0.0273348519362187
2011,"GU",2,"District of Guam",26,0.0769230769230769
2011,"HI",11,"District of Hawaii",174,0.0632183908045977
2011,"IAN",172,"Northern District of Iowa",506,0.339920948616601
2011,"IAS",37,"Southern District of Iowa",354,0.104519774011299
2011,"ID",84,"District of Idaho",298,0.281879194630872
2011,"ILC",42,"Central District of Illinois",346,0.121387283236994
2011,"ILN",129,"Northern District of Illinois",775,0.166451612903226
2011,"ILS",9,"Southern District of Illinois",303,0.0297029702970297
2011,"INN",8,"Northern District of Indiana",368,0.0217391304347826
2011,"INS",30,"Southern District of Indiana",251,0.119521912350598
2011,"KS",96,"District of Kansas",582,0.164948453608247
2011,"KYE",30,"Eastern District of Kentucky",515,0.058252427184466
2011,"KYW",22,"Western District of Kentucky",297,0.0740740740740741
2011,"LAE",23,"Eastern District of Louisiana",271,0.0848708487084871
2011,"LAM",16,"Middle District of Louisiana",117,0.136752136752137
2011,"LAW",14,"Western District of Louisiana",223,0.062780269058296
2011,"MA",58,"District of Massachusetts",471,0.123142250530786
2011,"MD",71,"District of Maryland",741,0.0958164642375169
2011,"ME",11,"District of Maine",171,0.064327485380117
2011,"MIE",112,"Eastern District of Michigan",718,0.155988857938719
2011,"MIW",137,"Western District of Michigan",459,0.298474945533769
2011,"MN",47,"District of Minnesota",393,0.119592875318066
2011,"MOE",37,"Eastern District of Missouri",707,0.0523338048090523
2011,"MOW",37,"Western District of Missouri",560,0.0660714285714286
2011,"MP",0,"District of Northern Mariana Islands",7,0
2011,"MSN",5,"Northern District of Mississippi",155,0.032258064516129
2011,"MSS",25,"Southern District of Mississippi",232,0.107758620689655
2011,"MT",14,"District of Montana",276,0.0507246376811594
2011,"NCE",61,"Eastern District of North Carolina",750,0.0813333333333333
2011,"NCM",63,"Middle District of North Carolina",506,0.124505928853755
2011,"NCW",68,"Western District of North Carolina",520,0.130769230769231
2011,"ND",92,"District of North Dakota",269,0.342007434944238
2011,"NE",137,"District of Nebraska",504,0.271825396825397
2011,"NH",7,"District of New Hampshire",163,0.0429447852760736
2011,"NJ",40,"District of New Jersey",609,0.0656814449917898
2011,"NM",2184,"District of New Mexico",3069,0.711632453567937
2011,"NV",162,"District of Nevada",569,0.284710017574692
2011,"NYE",206,"Eastern District of New York",900,0.228888888888889
2011,"NYN",113,"Northern District of New York",492,0.229674796747967
2011,"NYS",196,"Southern District of New York",1297,0.151117964533539
2011,"NYW",102,"Western District of New York",522,0.195402298850575
2011,"OHN",28,"Northern District of Ohio",525,0.0533333333333333
2011,"OHS",88,"Southern District of Ohio",630,0.13968253968254
2011,"OKE",5,"Eastern District of Oklahoma",80,0.0625
2011,"OKN",38,"Northern District of Oklahoma",158,0.240506329113924
2011,"OKW",64,"Western District of Oklahoma",340,0.188235294117647
